"filename", "language", "C++", "JSON", "CMake", "Swift", "Dart", "YAML", "HTML", "XML", "Markdown", "Java Properties", "comment", "blank", "total"
"c:\hamaltekk\lib\screens\scanner_screen.dart", "Dart", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 8, 16, 153
"c:\hamaltekk\lib\screens\staff_chat_list_screen.dart", "Dart", 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 6, 21, 325
"c:\hamaltekk\lib\screens\staff_home_screen.dart", "Dart", 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 3, 21, 364
"c:\hamaltekk\lib\screens\staff_main_screen.dart", "Dart", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 11, 17, 234
"c:\hamaltekk\lib\screens\staff_requests_screen.dart", "Dart", 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 4, 15, 285
"c:\hamaltekk\lib\screens\staff_trips_screen.dart", "Dart", 0, 0, 0, 0, 536, 0, 0, 0, 0, 0, 4, 45, 585
"c:\hamaltekk\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 8, 54
"c:\hamaltekk\lib\widgets\add_meal_dialog.dart", "Dart", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 15, 26, 326
"c:\hamaltekk\lib\widgets\add_trip_dialog.dart", "Dart", 0, 0, 0, 0, 588, 0, 0, 0, 0, 0, 3, 41, 632
"c:\hamaltekk\lib\widgets\hajj_info_overlays.dart", "Dart", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 3, 21, 296
"c:\hamaltekk\lib\widgets\help_request_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 4, 18, 320
"c:\hamaltekk\lib\widgets\pdf_export_service.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 9, 14, 202
"c:\hamaltekk\linux\CMakeLists.txt", "CMake", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\hamaltekk\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\hamaltekk\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\hamaltekk\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\hamaltekk\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
